timestamp,raw_torque_j0,smoothed_torque_j0,raw_torque_j1,smoothed_torque_j1,raw_torque_j2,smoothed_torque_j2,raw_torque_j3,smoothed_torque_j3,raw_torque_j4,smoothed_torque_j4,raw_torque_j5,smoothed_torque_j5,raw_torque_j6,smoothed_torque_j6
1765557299324140877,-13.702,-13.702,10.3214,10.3214,-6.03475,-6.03475,1.66283,1.66283,0.643259,0.643259,0.516201,0.516201,-0.00942921,-0.00942921
1765557299326261388,-13.4038,-13.4038,10.1579,10.1579,-5.85479,-5.85479,1.73936,1.73936,0.545108,0.545108,0.447423,0.447423,-0.00755111,-0.00755111
1765557299328533104,-13.3707,-13.3707,10.1648,10.1648,-5.83063,-5.83063,1.73412,1.73412,0.539874,0.539874,0.429933,0.429933,-0.00713462,-0.00713462
1765557299330772833,-13.3836,-13.3836,10.1512,10.1512,-5.84045,-5.84045,1.7427,1.7427,0.537142,0.537142,0.434953,0.434953,-0.00716462,-0.00716462
1765557299332872391,-13.4419,-13.4419,10.1569,10.1569,-5.88453,-5.88453,1.74486,1.74486,0.546362,0.546362,0.464657,0.464657,-0.00796776,-0.00796776
1765557299335092145,-13.4131,-13.4131,10.1615,10.1615,-5.86008,-5.86008,1.73813,1.73813,0.542838,0.542838,0.442683,0.442683,-0.00731419,-0.00731419
1765557299337183113,-13.7363,-13.7363,10.2926,10.2926,-6.06298,-6.06298,1.68082,1.68082,0.633483,0.633483,0.528919,0.528919,-0.00949972,-0.00949972
1765557299339352582,-13.4326,-13.4326,10.1604,10.1604,-5.87138,-5.87138,1.73746,1.73746,0.544133,0.544133,0.443044,0.443044,-0.00721009,-0.00721009
1765557299341543632,-13.4046,-13.4046,10.162,10.162,-5.85144,-5.85144,1.73528,1.73528,0.538472,0.538472,0.429352,0.429352,-0.00686496,-0.00686496
1765557299343744739,-13.3984,-13.3984,10.1778,10.1778,-5.84457,-5.84457,1.72661,1.72661,0.540553,0.540553,0.420602,0.420602,-0.00667391,-0.00667391
1765557299345880056,-13.4179,-13.4179,10.19,10.19,-5.85623,-5.85623,1.72152,1.72152,0.545577,0.545577,0.423229,0.423229,-0.00674137,-0.00674137
1765557299348044915,-13.4228,-13.4228,10.1628,10.1628,-5.8644,-5.8644,1.73933,1.73933,0.535765,0.535765,0.432104,0.432104,-0.00688657,-0.00688657
1765557299350577906,-13.5614,-13.5614,10.247,10.247,-5.94829,-5.94829,1.70164,1.70164,0.580137,0.580137,0.461607,0.461607,-0.00771763,-0.00771763
1765557299352701769,-13.4658,-13.4658,10.1945,10.1945,-5.88959,-5.88959,1.72579,1.72579,0.548289,0.548289,0.436704,0.436704,-0.00700126,-0.00700126
1765557299354833873,-13.4736,-13.4736,10.169,10.169,-5.89802,-5.89802,1.74079,1.74079,0.541039,0.541039,0.443884,0.443884,-0.00706801,-0.00706801
1765557299357005019,-13.4903,-13.4903,10.1633,10.1633,-5.91089,-5.91089,1.7449,1.7449,0.541267,0.541267,0.45192,0.45192,-0.00724312,-0.00724312
1765557299359174907,-13.6946,-13.6946,10.2905,10.2905,-6.03405,-6.03405,1.68715,1.68715,0.60859,0.60859,0.495533,0.495533,-0.00848798,-0.00848798
1765557299361419105,-13.5275,-13.5275,10.1725,10.1725,-5.93664,-5.93664,1.74368,1.74368,0.546157,0.546157,0.463321,0.463321,-0.00750271,-0.00750271
1765557299363632015,-13.5198,-13.5198,10.1681,10.1681,-5.93294,-5.93294,1.7467,1.7467,0.541454,0.541454,0.461932,0.461932,-0.0074692,-0.0074692
1765557299365786189,-13.5567,-13.5567,10.1669,10.1669,-5.95879,-5.95879,1.75094,1.75094,0.545528,0.545528,0.475334,0.475334,-0.00775995,-0.00775995
1765557299368006433,-13.5454,-13.5454,10.1938,10.1938,-5.94687,-5.94687,1.73688,1.73688,0.549783,0.549783,0.461516,0.461516,-0.00745024,-0.00745024
1765557299370588382,-13.6391,-13.6391,10.26,10.26,-6.00013,-6.00013,1.70787,1.70787,0.582302,0.582302,0.473849,0.473849,-0.00779071,-0.00779071
1765557299372707426,-13.6113,-13.6113,10.1952,10.1952,-5.99322,-5.99322,1.74394,1.74394,0.556812,0.556812,0.484795,0.484795,-0.00798424,-0.00798424
1765557299374893028,-13.6298,-13.6298,10.211,10.211,-6.00531,-6.00531,1.73887,1.73887,0.561656,0.561656,0.488967,0.488967,-0.00812138,-0.00812138
1765557299377054396,-13.6521,-13.6521,10.2227,10.2227,-6.01896,-6.01896,1.73328,1.73328,0.568003,0.568003,0.492973,0.492973,-0.00820184,-0.00820184
1765557299379184754,-13.9361,-13.9361,10.3357,10.3357,-6.19844,-6.19844,1.68612,1.68612,0.645894,0.645894,0.570018,0.570018,-0.0101696,-0.0101696
1765557299381366654,-13.6562,-13.6562,10.2284,10.2284,-6.0186,-6.0186,1.72806,1.72806,0.568566,0.568566,0.485037,0.485037,-0.00786121,-0.00786121
1765557299383516289,-13.6815,-13.6815,10.2359,10.2359,-6.03468,-6.03468,1.72567,1.72567,0.573566,0.573566,0.490538,0.490538,-0.00795913,-0.00795913
1765557299385674094,-13.7118,-13.7118,10.2374,10.2374,-6.05682,-6.05682,1.72888,1.72888,0.576337,0.576337,0.503048,0.503048,-0.00827206,-0.00827206
1765557299387805570,-13.7663,-13.7663,10.2054,10.2054,-6.09994,-6.09994,1.75188,1.75188,0.573897,0.573897,0.53283,0.53283,-0.00893372,-0.00893372
1765557299389912741,-13.7544,-13.7544,10.2427,10.2427,-6.08635,-6.08635,1.73098,1.73098,0.580643,0.580643,0.516233,0.516233,-0.00856301,-0.00856301
